Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private,Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,English,Spanish,Chinese,Website,Other Details,Date Added,Added By,Date Reviewed,Reviewed By,Review Notes
SBA Payment Protection Program,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$10,000,000",Yes and Reported,0.01,Loan,Public ,Government,Municipal Gov,Unknown,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#Loans,"Funds can only be used to pay payroll costs (including benefits), interest on mortgages, rent, and utilities. The loan will be fully forgiven as long as 75% of the funds are used to cover payroll costs over an eight week period after the loan is made",06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Economic Injury Disaster Loan (EIDL),Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$2,000,000",Yes and Reported,0.0375,Loan,Public ,Government,Municipal Gov,Unknown,,Yes,No,No,https://www.sba.gov/page/disaster-loan-applications#section-header-0,800-659-2955,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
USA Small Business Administration,Yes,Yes,Yes,No,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$25,000",No,0,Loan ,Public ,Government,Federal Gov,Unknown,,Yes,No,No,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/sba-express-bridge-loans,"Enables small businesses who currently have a business relationship with an SBA Express Lender to access up to $25,000 quickly. See here https://www.sba.gov/document/support--express-bridge-loan-pilot-program-guide",06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Pandemic Unemployment Assistance (PUA),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Insurance,Public ,Government,State Gov,Unknown,,Yes,Yes,Yes,https://www.edd.ca.gov/about_edd/coronavirus-2019/pandemic-unemployment-assistance.htm,,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
California Disaster Relief Loan Guarantee Program — COVID-19,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State Gov,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/small-business-finance-center/,,06/05/20,Emily Kasa,06/10/20,Ravi Patel,
COVID-19: A Just East Bay Response Fund,No,Yes,No,Yes,No,Some,All,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Grant,Private,Non-Profit,East Bay Community Foundation,Unknown,,Yes,No,No,https://www.ebcf.org/covid-19-fund-faq/,,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Resiliency Relief Grant Program,No,Yes,No,No,No,Some,All,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$1,000,000",No,0,Grant,Private,Non-Profit,OAACCF,Yes,06/20/20,Yes,No,No,https://oaacc.org/resiliency-fund/,,06/05/20,Emily Kasa,6/22/2020,Dee Jomo,
Business For All,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$50,000",No,0,Grant,Private,Non-Profit,Business For All,Yes,09/20/19,Yes,No,No,https://businessforall.helloalice.com,,06/05/20,Emily Kasa,6/22/2020,Dee Jomo,
Oakland Repair Fund,No,Yes,No,Unknown,No,Some,Multiple,Yes,No,No,Unknown,Yes,No,No,No,Protest Damage,One-Time,Yes,$600,No,,Grant,Private,Non-Profit,Oakland Indie Alliance,Unknown,,Yes,No,No,http://www.oaklandindiealliance.com/repair-apply,,6/7/20,Emily Kasa,6/22/2020,Dee Jomo,
Small Business Assistance Grant Program - City of Santa Clara,No,No,No,No,Yes,Some,All,No,No,No,All,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",Unknown,,Grant,Public,Government,City of Santa Clara,Unknown,,Yes,Yes,Yes,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-business-resources/small-business-assistance-grant-program,"Initial grant money has all been awarded, but a GoFundMe has been started to raise additional funds: https://www.gofundme.com/f/santa-clara-small-business-assistance-fund?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet",6/10/20,Julie Wiederhold,6/24/2020,Seth Puckett,
Berkeley Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",No,0,Grant,Public,Government,Berkeley City Council,Unknown,,Yes,No,No,https://berkeleyrelieffund.org/,,2020-06-10,Arnav Khanna,6/22/2020,Dee Jomo,
